Year,Month,A,B,C,D,E,F,G
1919,01,5.2,14.0,3.8,0.3,2.8,2.7,0.7
1919,02,77.5,83.1,75.6,68.0,79.6,89.7,61.0
1919,03,103.5,157.3,85.8,57.8,55.2,45.3,36.4
1919,04,61.7,62.3,33.9,48.1,20.7,11.1,22.5
1919,05,93.7,65.4,57.9,67.9,76.3,63.5,52.9
1919,06,106.5,129.9,66.1,83.4,65.2,60.4,32.1
1919,07,86.1,123.3,60.3,52.4,35.8,40.4,20.2
1919,08,111.0,85.0,36.6,36.2,38.5,41.9,24.0
1919,09,99.3,88.4,50.6,74.5,51.7,54.0,33.4
1919,10,47.6,65.5,34.1,17.7,26.3,28.9,13.2
1919,11,41.6,38.1,28.1,29.4,21.8,15.5,19.5
1919,12,125.2,141.9,82.0,92.5,78.5,54.2,59.0
1920,01,22.5,22.9,11.1,1.8,14.6,11.9,2.9
1920,02,6.9,17.7,5.8,0.5,2.4,2.9,0.2
1920,03,42.8,62.5,22.8,9.0,12.1,15.9,4.8
1920,04,72.4,102.2,42.0,23.6,23.1,15.4,12.2
1920,05,75.8,90.3,52.0,57.2,59.7,60.3,29.5
1920,06,163.5,178.8,124.9,158.8,92.9,87.7,56.3
1920,07,129.0,122.9,94.1,125.2,84.7,83.7,55.0
1920,08,176.2,204.6,134.4,158.7,146.9,144.9,105.9
1920,09,151.6,211.6,146.3,139.6,118.0,89.7,87.0
1920,10,156.5,199.3,142.9,113.5,119.4,58.3,85.0
1920,11,89.2,120.6,78.5,65.9,65.5,65.7,42.7
1920,12,40.0,41.4,21.6,26.3,18.9,24.2,14.0
1921,01,58.1,76.2,60.6,44.3,69.3,69.5,38.0
1921,02,36.4,39.4,37.9,43.1,35.2,39.6,39.3
1921,03,67.7,76.5,61.1,67.0,61.6,38.0,49.3
1921,04,28.9,34.6,12.5,24.9,10.7,13.7,13.3
1921,05,108.0,119.4,88.7,113.5,84.9,75.9,71.6
1921,06,113.6,138.8,112.4,128.6,103.1,76.0,70.2
1921,07,130.4,148.9,72.4,111.2,68.7,81.8,49.1
1921,08,195.3,227.9,117.9,127.3,89.9,100.9,48.3
1921,09,200.3,182.5,149.0,183.8,122.4,101.7,95.3
1921,10,99.5,133.1,72.1,62.0,52.5,51.0,33.7
1921,11,70.4,92.2,53.8,43.7,59.2,62.2,28.4
1921,12,38.7,49.8,29.6,32.5,19.5,17.7,28.1
1922,01,30.1,39.5,30.9,14.5,18.9,9.0,8.4
1922,02,52.6,74.4,53.7,43.6,47.1,49.0,27.9
1922,03,10.3,10.3,2.7,1.0,1.7,2.8,0.6
1922,04,58.0,59.7,35.8,34.1,31.4,30.9,14.9
1922,05,77.6,88.1,53.0,62.0,52.3,71.1,42.1
1922,06,101.2,92.4,60.3,86.2,49.4,45.1,36.9
1922,07,133.3,166.6,87.7,108.5,47.2,44.1,36.1
1922,08,117.3,140.6,78.3,81.4,57.7,62.4,32.2
1922,09,134.8,124.4,109.1,106.6,71.7,60.7,60.0
1922,10,137.8,165.3,82.2,91.2,60.3,64.4,43.7
1922,11,30.8,43.8,17.4,12.2,16.3,22.5,2.3
1922,12,59.5,82.9,36.5,35.5,30.3,54.9,19.6
1923,01,43.3,52.5,15.5,14.8,14.1,18.5,5.6
1923,02,5.7,11.9,4.0,0.4,2.3,4.7,0.5
1923,03,9.9,8.0,7.0,4.8,2.2,0.7,1.6
1923,04,3.6,1.0,0.4,0.6,0.5,0.1,0.6
1923,05,198.2,182.5,102.9,134.1,96.3,97.0,54.6
1923,06,160.3,156.4,118.5,175.2,137.6,136.7,113.7
1923,07,178.5,216.5,143.2,155.5,167.4,169.0,101.1
1923,08,129.8,145.1,64.3,87.8,40.5,46.2,27.5
1923,09,120.4,122.0,65.1,64.0,48.3,50.1,32.6
1923,10,173.2,235.2,107.0,96.0,59.3,71.3,34.8
1923,11,103.5,155.3,75.6,55.8,34.3,34.2,15.9
1923,12,112.7,110.8,61.2,99.5,34.6,52.5,43.6
1924,01,89.3,115.3,58.9,55.5,31.1,31.0,25.3
1924,02,107.2,122.2,72.8,59.4,64.3,94.6,48.6
1924,03,106.3,133.7,115.2,99.7,114.7,105.9,62.8
1924,04,107.9,142.5,98.9,80.6,42.8,39.6,40.3
1924,05,73.0,69.4,38.5,53.8,28.4,35.2,19.0
1924,06,82.8,104.8,85.9,96.0,81.0,77.6,52.4
1924,07,54.6,61.2,39.0,37.9,33.6,24.8,15.5
1924,08,210.0,220.1,148.3,171.8,118.9,89.4,72.4
1924,09,108.2,120.3,73.8,75.3,77.3,86.0,44.2
1924,10,138.7,166.2,104.6,94.4,87.7,86.7,57.3
1924,11,163.6,184.5,132.0,145.7,118.6,123.8,88.1
1924,12,68.0,86.5,50.0,59.1,42.7,33.9,44.5
1925,01,125.7,141.8,93.7,111.5,54.9,48.9,51.2
1925,02,107.2,107.0,64.6,92.3,41.2,39.1,33.8
1925,03,33.4,45.5,36.3,31.5,18.5,14.6,17.2
1925,04,31.1,60.1,23.9,11.1,14.0,21.7,5.7
1925,05,73.7,52.1,50.1,59.0,67.8,63.8,52.6
1925,06,54.0,61.1,46.0,76.3,51.0,46.0,45.3
1925,07,135.7,177.0,88.3,94.1,65.7,58.1,37.3
1925,08,114.3,114.0,62.6,72.5,50.9,37.1,27.8
1925,09,130.5,148.4,77.8,101.4,68.5,75.2,40.0
1925,10,41.5,49.3,17.2,15.1,11.1,14.3,6.4
1925,11,46.4,68.5,50.6,34.7,40.6,26.7,23.3
1925,12,10.5,27.6,7.6,3.3,4.4,6.1,0.9
1926,01,54.4,47.1,30.4,33.7,23.5,13.9,13.3
1926,02,3.5,4.7,1.1,0.8,0.4,1.0,0.1
1926,03,91.2,74.3,65.3,109.0,32.4,19.0,59.6
1926,04,148.0,140.2,96.9,147.8,71.3,64.3,70.4
1926,05,141.7,135.0,82.2,132.4,81.2,74.8,57.0
1926,06,103.1,150.9,85.3,108.1,55.0,52.0,41.1
