Year,Month,EildonInflow,Reach1,Reach2,Reach3,Reach4
2008,2,16692.00,5066.00,3066.00,1064.00,1177.00
2008,3,10424.00,3992.00,2126.00,789.00,1243.00
2008,4,10742.00,4461.00,2183.00,716.00,1200.00
2008,5,16756.00,7423.00,3005.00,1935.00,1228.00
2008,6,24588.00,10091.00,3677.00,2209.00,1252.00
2008,7,122233.00,24849.00,7271.00,5423.00,3321.00
2008,8,121126.00,35839.00,15601.00,7712.00,3673.00
2008,9,91769.00,22651.00,8563.00,5399.00,2927.00
2008,10,44121.00,12218.00,5635.00,5480.00,1343.00
2008,11,37194.00,15047.00,7081.00,2007.00,1452.00
2008,12,48007.00,14767.00,7173.00,3239.00,1287.00
2009,1,21366.00,7185.00,3279.00,289.00,1168.00
2009,2,7735.00,3900.00,1815.00,113.00,1120.00
2009,3,10246.00,7250.00,3254.00,168.00,1244.00
2009,4,15175.00,10635.00,4016.00,770.00,1203.00
2009,5,17026.00,7831.00,2700.00,2031.00,1227.00
2009,6,30014.00,12647.00,3954.00,2284.00,1446.00
2009,7,133563.00,32762.00,6010.00,4476.00,2764.00
2009,8,143451.00,36339.00,6217.00,4658.00,4602.00
2009,9,212295.00,57595.00,21263.00,3712.00,5078.00
2009,10,197896.00,64170.00,28568.00,15337.00,5069.00
2009,11,52496.00,27237.00,12657.00,2803.00,1484.00
2009,12,30199.00,20789.00,8317.00,818.00,1356.00
2010,1,19591.00,19180.00,11887.00,4957.00,1041.00
2010,2,14822.00,11807.00,5886.00,3320.00,1092.00
2010,3,34503.00,19941.00,10897.00,10081.00,6136.00
2010,4,36317.00,18144.00,6701.00,2298.00,1765.00
2010,5,44204.00,17512.00,5117.00,5327.00,2114.00
2010,6,94283.00,35375.00,11668.00,4220.00,5838.00
2010,7,154791.00,67872.00,28828.00,24534.00,14927.00
2010,8,417475.00,144851.00,87595.00,62862.00,71340.00
2010,9,537401.00,188853.00,105472.00,87154.00,137226.00
2010,10,144769.00,71574.00,45728.00,7909.00,20434.00
2010,11,181406.00,77100.00,92983.00,140985.00,26789.00
2010,12,264542.00,106064.00,99371.00,117183.00,133171.00
2011,1,112564.00,63481.00,87661.00,101380.00,33144.00
2011,2,129593.00,51650.00,42871.00,55162.00,35121.00
2011,3,58468.00,38746.00,25018.00,9120.00,7228.00
2011,4,54797.00,45760.00,43308.00,9984.00,6248.00
2011,5,64388.00,50445.00,35607.00,9096.00,5371.00
2011,6,141613.00,69682.00,45153.00,10860.00,6062.00
2011,7,291537.00,113638.00,66959.00,11221.00,19342.00
2011,8,200569.00,84128.00,67789.00,45181.00,46480.00
2011,9,89232.00,49245.00,31171.00,16069.00,8904.00
2011,10,114016.00,60661.00,48882.00,18994.00,16459.00
2011,11,84857.00,49240.00,51549.00,21351.00,4559.00
2011,12,72740.00,42081.00,33819.00,6947.00,4233.00
2012,1,36895.00,23647.00,18439.00,2601.00,1680.00
2012,2,31613.00,22257.00,16525.00,19325.00,4196.00
2012,3,103101.00,39116.00,29204.00,38303.00,106894.00
2012,4,38634.00,22223.00,13647.00,6076.00,4277.00
2012,5,49659.00,28990.27,25197.26,1527.00,3311.00
2012,6,224728.00,46759.81,40641.88,4587.00,7138.00
2012,7,276627.00,110707.91,96223.18,38401.00,36516.00
2012,8,257146.00,111576.31,96977.96,57596.00,26594.00
2012,9,225079.00,74428.09,64690.12,10372.00,11693.00
2012,10,79426.00,40476.28,35180.47,4212.00,4993.00
2012,11,45055.00,24663.14,21436.28,3576.00,1493.00
2012,12,31914.00,18140.65,15767.18,2108.00,523.00
2013,1,14068.00,10274.32,8930.06,476.00,20.00
2013,2,11454.00,7731.70,6720.10,560.00,1.00
2013,3,17282.00,8942.40,7772.40,1628.00,937.00
2013,4,14763.00,8106.29,7045.68,1310.00,296.00
2013,5,26296.00,13294.37,11554.97,2033.00,699.00
2013,6,49407.00,12570.03,10925.40,3092.00,2690.00
2013,7,181778.00,27137.70,23587.08,12655.00,10880.00
2013,8,511311.00,73245.21,63662.00,25187.00,37662.00
2013,9,171317.00,57104.18,49632.82,31941.00,15726.00
2013,10,107732.00,38244.66,33240.83,6497.00,4853.00
2013,11,52754.00,24942.34,21678.95,4263.00,2063.00
2013,12,48763.00,24292.03,21113.72,3155.00,1475.00
2014,1,19975.00,12453.78,10824.36,804.00,677.00
2014,2,10336.00,7022.76,6103.92,462.00,16.00
2014,3,11663.00,7437.59,6464.48,974.00,0.00
2014,4,16396.00,9936.99,8636.86,2529.00,1622.00
2014,5,37105.00,14605.92,12694.92,4970.00,1871.00
2014,6,127654.00,26828.19,23318.06,16548.00,20807.00
2014,7,339581.00,84033.72,73038.97,25832.00,44821.00
2014,8,174056.00,55824.92,48520.93,13819.00,11769.00
2014,9,70165.00,34072.53,29614.57,9614.00,5808.00
2014,10,51633.00,26269.29,22832.29,9341.00,1846.00
2014,11,30089.00,16317.40,14182.47,2802.00,667.00
2014,12,21004.00,11317.60,9836.84,1470.00,659.00
2015,1,15348.00,8621.96,7493.89,1205.00,532.00
2015,2,10397.00,6158.83,5353.02,811.00,152.00
2015,3,8456.00,6345.63,5515.38,701.00,0.00
2015,4,13772.00,7157.89,6221.37,1360.00,1.00
2015,5,43955.00,13657.53,11870.61,3699.00,621.00
2015,6,34185.00,10879.92,9456.42,5671.00,872.00
2015,7,89906.00,20252.05,17602.33,3654.00,1971.00
2015,8,132933.00,29727.52,25838.05,5987.00,3343.00
2015,9,68926.00,20015.58,17396.79,8147.00,1798.00
2015,10,32866.00,19155.12,16648.91,8087.00,147.00
2015,11,25753.00,11776.15,10235.39,1653.00,313.00
2015,12,12570.00,7257.25,6307.73,289.00,0.00
2016,1,10806.00,6666.06,5793.89,4395.00,209.00
2016,2,7559.00,4693.27,4079.21,1076.00,479.00
2016,3,7963.00,5396.74,4690.64,479.00,0.00
2016,4,6995.00,5003.77,4349.09,533.00,0.00
2016,5,54446.00,12575.50,10930.15,4886.00,974.00
2016,6,123462.00,21900.93,19035.47,12350.00,14249.00
2016,7,372038.00,48663.55,42296.54,39992.00,58903.00
2016,8,356023.00,69527.66,60430.84,54418.00,72547.00
2016,9,306573.00,79837.25,69391.56,117840.00,80514.00
2016,10,419310.00,104398.55,90739.32,112246.00,93071.00
2016,11,86686.00,38695.26,33632.47,9119.00,6242.00
2016,12,49635.00,22521.93,19575.22,5900.00,4832.00
2017,1,28383.00,12736.96,11070.49,2530.00,6453.00
2017,2,16113.00,9160.50,7961.96,1264.00,355.00
2017,3,11453.00,7555.83,6567.25,1510.00,25.00
2017,4,18030.00,11371.75,9883.90,5893.00,1412.00
2017,5,19155.00,8393.93,7295.69,7886.00,1768.00
2017,6,21005.00,5754.43,5001.54,3569.00,2231.00
2017,7,56255.00,19999.18,17382.54,14969.00,5365.00
2017,8,268764.00,40656.62,35337.22,24374.00,35744.00
2017,9,223868.00,37432.89,32535.27,12344.00,6942.00
2017,10,87686.00,25065.05,21785.61,9871.00,3752.00
2017,11,46031.00,15532.45,13500.23,6236.00,1787.00
2017,12,184884.00,45234.14,39315.82,26972.00,52008.00
2018,1,32223.00,15005.35,13042.09,3681.00,877.00
2018,2,14769.00,8833.60,7677.84,1413.00,259.00
2018,3,11320.00,6710.28,5832.32,754.00,0.00
2018,4,14047.00,7248.31,6299.96,1173.00,43.00
2018,5,16696.00,5469.77,4754.12,7340.00,4845.00
2018,6,77010.00,11711.56,10179.25,15716.00,9887.00
